




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2409)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cell cycle G2/M phase transition (GO:0044839)	143	5	16.73	-	.30	2.68E-03	4.86E-02
regulation of NMDA receptor activity (GO:2000310)	40	13	4.68	+	2.78	2.67E-03	4.86E-02
endocrine pancreas development (GO:0031018)	40	13	4.68	+	2.78	2.67E-03	4.86E-02
positive regulation of blood circulation (GO:1903524)	40	13	4.68	+	2.78	2.67E-03	4.85E-02
DNA damage checkpoint signaling (GO:0000077)	142	5	16.61	-	.30	2.64E-03	4.81E-02
G2/M transition of mitotic cell cycle (GO:0000086)	141	5	16.49	-	.30	2.63E-03	4.79E-02
macromolecule methylation (GO:0043414)	257	14	30.06	-	.47	2.61E-03	4.76E-02
skin epidermis development (GO:0098773)	77	20	9.01	+	2.22	2.55E-03	4.67E-02
hair cycle process (GO:0022405)	77	20	9.01	+	2.22	2.55E-03	4.67E-02
regulation of telomere maintenance via telomere lengthening (GO:1904356)	62	0	7.25	-	 < 0.01	2.55E-03	4.66E-02
molting cycle process (GO:0022404)	77	20	9.01	+	2.22	2.55E-03	4.66E-02
cardiac ventricle morphogenesis (GO:0003208)	70	19	8.19	+	2.32	2.50E-03	4.60E-02
response to alkaloid (GO:0043279)	117	27	13.69	+	1.97	2.44E-03	4.49E-02
negative regulation of neuron death (GO:1901215)	209	42	24.45	+	1.72	2.44E-03	4.49E-02
transport of virus (GO:0046794)	61	0	7.14	-	 < 0.01	2.43E-03	4.47E-02
bone morphogenesis (GO:0060349)	97	24	11.35	+	2.12	2.42E-03	4.46E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	15	31.46	-	.48	2.42E-03	4.46E-02
regulation of synaptic vesicle exocytosis (GO:2000300)	60	17	7.02	+	2.42	2.41E-03	4.46E-02
regulation of inflammatory response (GO:0050727)	518	87	60.59	+	1.44	2.38E-03	4.41E-02
response to hormone (GO:0009725)	819	128	95.80	+	1.34	2.38E-03	4.41E-02
regulation of response to external stimulus (GO:0032101)	1199	179	140.25	+	1.28	2.33E-03	4.33E-02
regulation of bone mineralization (GO:0030500)	76	20	8.89	+	2.25	2.30E-03	4.27E-02
positive regulation of protein modification process (GO:0031401)	1079	163	126.21	+	1.29	2.27E-03	4.22E-02
mesenchymal to epithelial transition (GO:0060231)	16	8	1.87	+	4.27	2.25E-03	4.21E-02
embryonic digestive tract morphogenesis (GO:0048557)	16	8	1.87	+	4.27	2.25E-03	4.20E-02
carbohydrate catabolic process (GO:0016052)	116	3	13.57	-	.22	2.25E-03	4.20E-02
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	3	13.57	-	.22	2.25E-03	4.20E-02
response to mechanical stimulus (GO:0009612)	220	44	25.73	+	1.71	2.23E-03	4.17E-02
regulation of mRNA metabolic process (GO:1903311)	376	24	43.98	-	.55	2.21E-03	4.14E-02
neural crest cell migration (GO:0001755)	53	16	6.20	+	2.58	2.20E-03	4.13E-02
negative regulation of axon extension (GO:0030517)	44	14	5.15	+	2.72	2.19E-03	4.12E-02
regulation of dendrite development (GO:0050773)	104	25	12.16	+	2.06	2.19E-03	4.11E-02
Unclassified (UNCLASSIFIED)	2744	268	320.97	-	.83	2.18E-03	4.10E-02
biological_process (GO:0008150)	17851	2141	2088.03	+	1.03	2.18E-03	4.10E-02
positive regulation of cell development (GO:0010720)	300	56	35.09	+	1.60	2.13E-03	4.03E-02
regulation of vesicle-mediated transport (GO:0060627)	530	89	61.99	+	1.44	2.14E-03	4.03E-02
trabecula formation (GO:0060343)	20	9	2.34	+	3.85	2.13E-03	4.02E-02
proteoglycan metabolic process (GO:0006029)	85	22	9.94	+	2.21	2.12E-03	4.01E-02
temperature homeostasis (GO:0001659)	29	11	3.39	+	3.24	2.11E-03	4.00E-02
muscle cell differentiation (GO:0042692)	247	48	28.89	+	1.66	2.06E-03	3.90E-02
outflow tract morphogenesis (GO:0003151)	67	19	7.84	+	2.42	2.05E-03	3.90E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	201	9	23.51	-	.38	2.02E-03	3.84E-02
stem cell development (GO:0048864)	84	22	9.83	+	2.24	2.01E-03	3.82E-02
mitotic cell cycle checkpoint signaling (GO:0007093)	159	6	18.60	-	.32	1.99E-03	3.80E-02
respiratory system development (GO:0060541)	200	41	23.39	+	1.75	1.97E-03	3.76E-02
hormone transport (GO:0009914)	83	22	9.71	+	2.27	1.92E-03	3.68E-02
regulation of lipid transport (GO:0032368)	133	30	15.56	+	1.93	1.92E-03	3.68E-02
positive regulation of cell junction assembly (GO:1901890)	102	25	11.93	+	2.10	1.91E-03	3.68E-02
mitochondrial membrane organization (GO:0007006)	146	5	17.08	-	.29	1.92E-03	3.68E-02
adrenergic receptor signaling pathway (GO:0071875)	24	10	2.81	+	3.56	1.92E-03	3.67E-02
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	10	24.80	-	.40	1.91E-03	3.67E-02
stem cell differentiation (GO:0048863)	157	34	18.36	+	1.85	1.88E-03	3.62E-02
regulation of translational initiation (GO:0006446)	81	1	9.47	-	.11	1.88E-03	3.62E-02
regulation of catabolic process (GO:0009894)	1066	90	124.69	-	.72	1.87E-03	3.62E-02
interneuron migration (GO:1904936)	8	6	.94	+	6.41	1.87E-03	3.61E-02
proline transmembrane transport (GO:0035524)	8	6	.94	+	6.41	1.87E-03	3.61E-02
nuclear chromosome segregation (GO:0098813)	227	11	26.55	-	.41	1.86E-03	3.60E-02
oxoacid metabolic process (GO:0043436)	866	70	101.30	-	.69	1.85E-03	3.59E-02
forebrain neuron differentiation (GO:0021879)	51	16	5.97	+	2.68	1.84E-03	3.59E-02
carboxylic acid metabolic process (GO:0019752)	833	67	97.44	-	.69	1.85E-03	3.59E-02
regulation of neuron migration (GO:2001222)	43	14	5.03	+	2.78	1.84E-03	3.59E-02
regulation of actin filament-based movement (GO:1903115)	38	13	4.44	+	2.92	1.84E-03	3.59E-02
cell fate determination (GO:0001709)	43	14	5.03	+	2.78	1.84E-03	3.59E-02
positive regulation of heart contraction (GO:0045823)	38	13	4.44	+	2.92	1.84E-03	3.58E-02
regulation of membrane depolarization (GO:0003254)	43	14	5.03	+	2.78	1.84E-03	3.58E-02
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	4	15.67	-	.26	1.83E-03	3.58E-02
establishment of localization in cell (GO:0051649)	2335	223	273.13	-	.82	1.82E-03	3.58E-02
positive regulation of growth (GO:0045927)	257	50	30.06	+	1.66	1.81E-03	3.56E-02
negative regulation of defense response (GO:0031348)	402	71	47.02	+	1.51	1.81E-03	3.56E-02
regulation of calcium ion transport into cytosol (GO:0010522)	101	25	11.81	+	2.12	1.80E-03	3.55E-02
regulation of cardiac muscle cell contraction (GO:0086004)	33	12	3.86	+	3.11	1.80E-03	3.55E-02
regulation of cell growth (GO:0001558)	422	74	49.36	+	1.50	1.78E-03	3.52E-02
cellular response to unfolded protein (GO:0034620)	131	4	15.32	-	.26	1.76E-03	3.47E-02
hormone secretion (GO:0046879)	73	20	8.54	+	2.34	1.74E-03	3.43E-02
leukocyte mediated immunity (GO:0002443)	764	60	89.37	-	.67	1.73E-03	3.42E-02
positive regulation of excitatory postsynaptic potential (GO:2000463)	28	11	3.28	+	3.36	1.69E-03	3.35E-02
synaptic transmission, glutamatergic (GO:0035249)	28	11	3.28	+	3.36	1.69E-03	3.35E-02
regulation of mRNA catabolic process (GO:0061013)	252	13	29.48	-	.44	1.65E-03	3.30E-02
antimicrobial humoral response (GO:0019730)	154	34	18.01	+	1.89	1.65E-03	3.30E-02
collecting duct development (GO:0072044)	15	8	1.75	+	4.56	1.65E-03	3.30E-02
enteric nervous system development (GO:0048484)	15	8	1.75	+	4.56	1.65E-03	3.29E-02
actin filament-based movement (GO:0030048)	119	28	13.92	+	2.01	1.65E-03	3.29E-02
atrial cardiac muscle cell to AV node cell communication (GO:0086066)	15	8	1.75	+	4.56	1.65E-03	3.29E-02
neural crest cell development (GO:0014032)	79	21	9.24	+	2.27	1.61E-03	3.22E-02
regulation of protein phosphorylation (GO:0001932)	1218	183	142.47	+	1.28	1.60E-03	3.21E-02
limb morphogenesis (GO:0035108)	141	32	16.49	+	1.94	1.59E-03	3.20E-02
neural crest cell differentiation (GO:0014033)	89	23	10.41	+	2.21	1.59E-03	3.20E-02
appendage morphogenesis (GO:0035107)	141	32	16.49	+	1.94	1.59E-03	3.20E-02
actin-mediated cell contraction (GO:0070252)	89	23	10.41	+	2.21	1.59E-03	3.19E-02
regulation of postsynaptic cytosolic calcium ion concentration (GO:0099566)	11	7	1.29	+	5.44	1.53E-03	3.12E-02
positive regulation of glial cell differentiation (GO:0045687)	42	14	4.91	+	2.85	1.53E-03	3.12E-02
negative regulation of synapse organization (GO:1905809)	11	7	1.29	+	5.44	1.53E-03	3.11E-02
multi-organism localization (GO:1902579)	63	0	7.37	-	 < 0.01	1.54E-03	3.11E-02
multi-organism transport (GO:0044766)	63	0	7.37	-	 < 0.01	1.54E-03	3.11E-02
negative regulation of neuron projection development (GO:0010977)	140	32	16.38	+	1.95	1.54E-03	3.11E-02
platelet activation (GO:0030168)	140	32	16.38	+	1.95	1.54E-03	3.10E-02
regulation of endocrine process (GO:0044060)	37	13	4.33	+	3.00	1.52E-03	3.09E-02
insulin secretion (GO:0030073)	37	13	4.33	+	3.00	1.52E-03	3.09E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	47	15	5.50	+	2.73	1.51E-03	3.09E-02
cell aggregation (GO:0098743)	23	10	2.69	+	3.72	1.50E-03	3.06E-02
enteroendocrine cell differentiation (GO:0035883)	23	10	2.69	+	3.72	1.50E-03	3.06E-02
RNA phosphodiester bond hydrolysis (GO:0090501)	164	6	19.18	-	.31	1.47E-03	3.02E-02
regulation of muscle contraction (GO:0006937)	161	35	18.83	+	1.86	1.47E-03	3.02E-02
forebrain generation of neurons (GO:0021872)	62	18	7.25	+	2.48	1.47E-03	3.02E-02
cAMP-mediated signaling (GO:0019933)	32	12	3.74	+	3.21	1.46E-03	3.00E-02
aortic valve morphogenesis (GO:0003180)	32	12	3.74	+	3.21	1.46E-03	3.00E-02
cell junction assembly (GO:0034329)	276	53	32.28	+	1.64	1.43E-03	2.95E-02
response to peptide (GO:1901652)	488	84	57.08	+	1.47	1.42E-03	2.94E-02
negative regulation of ion transport (GO:0043271)	148	33	17.31	+	1.91	1.41E-03	2.91E-02
organic anion transport (GO:0015711)	327	61	38.25	+	1.59	1.39E-03	2.89E-02
DNA integrity checkpoint signaling (GO:0031570)	150	5	17.55	-	.28	1.39E-03	2.88E-02
negative regulation of cell cycle phase transition (GO:1901988)	294	16	34.39	-	.47	1.38E-03	2.87E-02
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	41	23.16	+	1.77	1.38E-03	2.86E-02
heart valve morphogenesis (GO:0003179)	55	17	6.43	+	2.64	1.36E-03	2.83E-02
regulation of ossification (GO:0030278)	115	28	13.45	+	2.08	1.35E-03	2.82E-02
mRNA 3'-end processing (GO:0031124)	88	1	10.29	-	.10	1.34E-03	2.81E-02
camera-type eye photoreceptor cell differentiation (GO:0060219)	27	11	3.16	+	3.48	1.34E-03	2.81E-02
cellular response to lipid (GO:0071396)	481	83	56.26	+	1.48	1.34E-03	2.81E-02
aerobic electron transport chain (GO:0019646)	88	1	10.29	-	.10	1.34E-03	2.81E-02
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	27	11	3.16	+	3.48	1.34E-03	2.81E-02
ephrin receptor signaling pathway (GO:0048013)	86	23	10.06	+	2.29	1.34E-03	2.81E-02
amino acid transmembrane transport (GO:0003333)	86	23	10.06	+	2.29	1.34E-03	2.80E-02
sex differentiation (GO:0007548)	272	53	31.82	+	1.67	1.30E-03	2.74E-02
protein localization to mitochondrion (GO:0070585)	85	1	9.94	-	.10	1.27E-03	2.69E-02
regulation of sensory perception (GO:0051931)	41	14	4.80	+	2.92	1.27E-03	2.68E-02
negative regulation of neuron apoptotic process (GO:0043524)	146	33	17.08	+	1.93	1.26E-03	2.67E-02
peptidyl-lysine modification (GO:0018205)	305	17	35.68	-	.48	1.26E-03	2.67E-02
microtubule-based process (GO:0007017)	806	63	94.28	-	.67	1.25E-03	2.66E-02
negative regulation of inflammatory response (GO:0050728)	320	60	37.43	+	1.60	1.25E-03	2.66E-02
detection of mechanical stimulus involved in sensory perception (GO:0050974)	36	13	4.21	+	3.09	1.24E-03	2.65E-02
cyclic-nucleotide-mediated signaling (GO:0019935)	54	17	6.32	+	2.69	1.24E-03	2.65E-02
telomere organization (GO:0032200)	103	2	12.05	-	.17	1.24E-03	2.64E-02
nucleotide-excision repair (GO:0006289)	104	2	12.16	-	.16	1.24E-03	2.64E-02
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	45	25.97	+	1.73	1.23E-03	2.62E-02
positive regulation of catabolic process (GO:0009896)	519	36	60.71	-	.59	1.22E-03	2.61E-02
collagen fibril organization (GO:0030199)	103	26	12.05	+	2.16	1.22E-03	2.61E-02
regulation of circadian sleep/wake cycle, sleep (GO:0045187)	18	9	2.11	+	4.27	1.21E-03	2.60E-02
dendrite development (GO:0016358)	111	27	12.98	+	2.08	1.21E-03	2.59E-02
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	43	24.33	+	1.77	1.20E-03	2.59E-02
positive regulation of cell projection organization (GO:0031346)	353	65	41.29	+	1.57	1.19E-03	2.58E-02
T cell chemotaxis (GO:0010818)	14	8	1.64	+	4.89	1.19E-03	2.56E-02
positive regulation of animal organ morphogenesis (GO:0110110)	31	12	3.63	+	3.31	1.17E-03	2.55E-02
dopaminergic neuron differentiation (GO:0071542)	31	12	3.63	+	3.31	1.17E-03	2.54E-02
anterior/posterior axon guidance (GO:0033564)	7	6	.82	+	7.33	1.17E-03	2.54E-02
dopamine metabolic process (GO:0042417)	31	12	3.63	+	3.31	1.17E-03	2.54E-02
AV node cell to bundle of His cell signaling (GO:0086027)	7	6	.82	+	7.33	1.17E-03	2.54E-02
AV node cell action potential (GO:0086016)	7	6	.82	+	7.33	1.17E-03	2.53E-02
cartilage condensation (GO:0001502)	22	10	2.57	+	3.89	1.15E-03	2.51E-02
regulation of circadian sleep/wake cycle (GO:0042749)	22	10	2.57	+	3.89	1.15E-03	2.51E-02
L-amino acid transport (GO:0015807)	60	18	7.02	+	2.56	1.15E-03	2.51E-02
odontogenesis of dentin-containing tooth (GO:0042475)	82	22	9.59	+	2.29	1.13E-03	2.47E-02
phenol-containing compound metabolic process (GO:0018958)	92	24	10.76	+	2.23	1.12E-03	2.45E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	222	10	25.97	-	.39	1.10E-03	2.41E-02
response to unfolded protein (GO:0006986)	168	6	19.65	-	.31	1.07E-03	2.36E-02
signal transduction in response to DNA damage (GO:0042770)	167	6	19.53	-	.31	1.06E-03	2.34E-02
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	6	19.42	-	.31	1.06E-03	2.34E-02
synaptic vesicle cycle (GO:0099504)	120	29	14.04	+	2.07	1.06E-03	2.34E-02
regulation of sensory perception of pain (GO:0051930)	40	14	4.68	+	2.99	1.05E-03	2.31E-02
regulation of calcium ion-dependent exocytosis (GO:0017158)	40	14	4.68	+	2.99	1.05E-03	2.31E-02
regulation of glial cell differentiation (GO:0045685)	74	21	8.66	+	2.43	1.03E-03	2.30E-02
negative regulation of synaptic transmission, glutamatergic (GO:0051967)	10	7	1.17	+	5.98	1.03E-03	2.30E-02
AV node cell to bundle of His cell communication (GO:0086067)	10	7	1.17	+	5.98	1.03E-03	2.29E-02
peptide secretion (GO:0002790)	59	18	6.90	+	2.61	1.03E-03	2.29E-02
substrate-independent telencephalic tangential interneuron migration (GO:0021843)	10	7	1.17	+	5.98	1.03E-03	2.29E-02
interneuron migration from the subpallium to the cortex (GO:0021830)	10	7	1.17	+	5.98	1.03E-03	2.29E-02
substrate-independent telencephalic tangential migration (GO:0021826)	10	7	1.17	+	5.98	1.03E-03	2.28E-02
NADH dehydrogenase complex assembly (GO:0010257)	66	0	7.72	-	 < 0.01	1.01E-03	2.27E-02
heart valve development (GO:0003170)	65	19	7.60	+	2.50	1.01E-03	2.27E-02
limb development (GO:0060173)	175	38	20.47	+	1.86	1.01E-03	2.27E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	0	7.72	-	 < 0.01	1.01E-03	2.27E-02
appendage development (GO:0048736)	175	38	20.47	+	1.86	1.01E-03	2.27E-02
cardiac chamber morphogenesis (GO:0003206)	119	29	13.92	+	2.08	1.01E-03	2.27E-02
autophagy (GO:0006914)	309	17	36.14	-	.47	9.76E-04	2.21E-02
mitotic cell cycle phase transition (GO:0044772)	262	13	30.65	-	.42	9.79E-04	2.21E-02
process utilizing autophagic mechanism (GO:0061919)	309	17	36.14	-	.47	9.76E-04	2.21E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	184	141.77	+	1.30	9.76E-04	2.21E-02
amino acid transport (GO:0006865)	118	29	13.80	+	2.10	9.67E-04	2.20E-02
negative regulation of cell projection organization (GO:0031345)	186	40	21.76	+	1.84	9.40E-04	2.14E-02
regulation of sodium ion transport (GO:0002028)	89	24	10.41	+	2.31	9.34E-04	2.13E-02
cranial nerve morphogenesis (GO:0021602)	30	12	3.51	+	3.42	9.31E-04	2.12E-02
regulation of MAPK cascade (GO:0043408)	707	116	82.70	+	1.40	9.22E-04	2.11E-02
regulation of cell size (GO:0008361)	185	40	21.64	+	1.85	9.06E-04	2.07E-02
detection of external stimulus (GO:0009581)	137	32	16.02	+	2.00	8.98E-04	2.06E-02
positive regulation of hormone secretion (GO:0046887)	137	32	16.02	+	2.00	8.98E-04	2.06E-02
negative regulation of cellular process (GO:0048523)	4902	648	573.39	+	1.13	8.91E-04	2.05E-02
mesenchymal cell proliferation (GO:0010463)	17	9	1.99	+	4.53	8.87E-04	2.04E-02
cell differentiation in spinal cord (GO:0021515)	49	16	5.73	+	2.79	8.74E-04	2.02E-02
negative regulation of blood pressure (GO:0045776)	44	15	5.15	+	2.91	8.75E-04	2.02E-02
pituitary gland development (GO:0021983)	44	15	5.15	+	2.91	8.75E-04	2.02E-02
type B pancreatic cell differentiation (GO:0003309)	21	10	2.46	+	4.07	8.71E-04	2.02E-02
positive regulation of cellular catabolic process (GO:0031331)	450	29	52.64	-	.55	8.65E-04	2.01E-02
chromosome segregation (GO:0007059)	286	15	33.45	-	.45	8.61E-04	2.00E-02
regulation of heart rate by cardiac conduction (GO:0086091)	39	14	4.56	+	3.07	8.56E-04	1.99E-02
anatomical structure maturation (GO:0071695)	196	42	22.93	+	1.83	8.57E-04	1.99E-02
ossification (GO:0001503)	267	53	31.23	+	1.70	8.52E-04	1.99E-02
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	147	34	17.19	+	1.98	8.45E-04	1.98E-02
cell population proliferation (GO:0008283)	485	85	56.73	+	1.50	8.46E-04	1.97E-02
regulation of proteasomal protein catabolic process (GO:0061136)	187	7	21.87	-	.32	8.39E-04	1.97E-02
peptide hormone secretion (GO:0030072)	57	18	6.67	+	2.70	8.39E-04	1.96E-02
heart valve formation (GO:0003188)	13	8	1.52	+	5.26	8.30E-04	1.95E-02
regulation of phosphorylation (GO:0042325)	1391	208	162.71	+	1.28	8.15E-04	1.92E-02
cochlea morphogenesis (GO:0090103)	25	11	2.92	+	3.76	8.13E-04	1.91E-02
negative regulation of translation (GO:0017148)	184	7	21.52	-	.33	8.06E-04	1.90E-02
pancreas development (GO:0031016)	69	20	8.07	+	2.48	8.02E-04	1.89E-02
sensory perception of light stimulus (GO:0050953)	220	46	25.73	+	1.79	7.93E-04	1.88E-02
regulation of biomineralization (GO:0110149)	95	25	11.11	+	2.25	7.84E-04	1.86E-02
segmentation (GO:0035282)	95	25	11.11	+	2.25	7.84E-04	1.86E-02
regulation of phosphate metabolic process (GO:0019220)	1578	233	184.58	+	1.26	7.72E-04	1.84E-02
regulation of phosphorus metabolic process (GO:0051174)	1578	233	184.58	+	1.26	7.72E-04	1.84E-02
methylation (GO:0032259)	313	17	36.61	-	.46	7.56E-04	1.80E-02
aerobic respiration (GO:0009060)	160	5	18.72	-	.27	7.53E-04	1.80E-02
regulation of epithelial cell proliferation (GO:0050678)	340	64	39.77	+	1.61	7.39E-04	1.77E-02
negative regulation of secretion by cell (GO:1903531)	142	33	16.61	+	1.99	7.39E-04	1.77E-02
negative regulation of cell growth (GO:0030308)	190	41	22.22	+	1.84	7.30E-04	1.75E-02
regulation of mitotic cell cycle (GO:0007346)	588	41	68.78	-	.60	7.24E-04	1.74E-02
regulation of muscle organ development (GO:0048634)	43	15	5.03	+	2.98	7.21E-04	1.74E-02
calcium-ion regulated exocytosis (GO:0017156)	43	15	5.03	+	2.98	7.21E-04	1.74E-02
positive regulation of axonogenesis (GO:0050772)	84	23	9.83	+	2.34	7.08E-04	1.71E-02
negative regulation of synaptic transmission (GO:0050805)	62	19	7.25	+	2.62	7.01E-04	1.69E-02
positive regulation of intracellular signal transduction (GO:1902533)	1040	162	121.65	+	1.33	6.95E-04	1.68E-02
negative regulation of cell cycle (GO:0045786)	454	29	53.10	-	.55	6.92E-04	1.68E-02
vesicle-mediated transport in synapse (GO:0099003)	129	31	15.09	+	2.05	6.61E-04	1.60E-02
negative regulation of cell migration (GO:0030336)	270	54	31.58	+	1.71	6.55E-04	1.59E-02
proteolysis (GO:0006508)	1306	111	152.76	-	.73	6.52E-04	1.59E-02
regulation of presynapse assembly (GO:1905606)	33	13	3.86	+	3.37	6.47E-04	1.58E-02
regulation of presynapse organization (GO:0099174)	33	13	3.86	+	3.37	6.47E-04	1.58E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	1	11.23	-	.09	6.30E-04	1.54E-02
multicellular organismal homeostasis (GO:0048871)	364	68	42.58	+	1.60	6.14E-04	1.51E-02
detection of abiotic stimulus (GO:0009582)	139	33	16.26	+	2.03	6.15E-04	1.51E-02
synapse assembly (GO:0007416)	99	26	11.58	+	2.25	5.97E-04	1.48E-02
cellular response to catecholamine stimulus (GO:0071870)	99	26	11.58	+	2.25	5.97E-04	1.47E-02
cellular response to monoamine stimulus (GO:0071868)	99	26	11.58	+	2.25	5.97E-04	1.47E-02
protein targeting to ER (GO:0045047)	112	2	13.10	-	.15	5.97E-04	1.47E-02
respiratory electron transport chain (GO:0022904)	112	2	13.10	-	.15	5.97E-04	1.47E-02
cell cycle checkpoint signaling (GO:0000075)	188	7	21.99	-	.32	5.90E-04	1.47E-02
cardiac muscle cell contraction (GO:0086003)	42	15	4.91	+	3.05	5.91E-04	1.46E-02
regulation of exocytosis (GO:0017157)	207	44	24.21	+	1.82	5.79E-04	1.44E-02
neuronal action potential (GO:0019228)	28	12	3.28	+	3.66	5.73E-04	1.43E-02
positive regulation of epithelial cell proliferation (GO:0050679)	194	42	22.69	+	1.85	5.69E-04	1.42E-02
renal system process (GO:0003014)	116	29	13.57	+	2.14	5.66E-04	1.41E-02
gland development (GO:0048732)	414	76	48.43	+	1.57	5.64E-04	1.41E-02
cell cycle phase transition (GO:0044770)	270	13	31.58	-	.41	5.65E-04	1.41E-02
aortic valve development (GO:0003176)	37	14	4.33	+	3.23	5.62E-04	1.41E-02
neurotransmitter secretion (GO:0007269)	81	23	9.47	+	2.43	5.30E-04	1.33E-02
signal release from synapse (GO:0099643)	81	23	9.47	+	2.43	5.30E-04	1.33E-02
developmental growth involved in morphogenesis (GO:0060560)	115	29	13.45	+	2.16	5.23E-04	1.32E-02
positive regulation of protein tyrosine kinase activity (GO:0061098)	59	19	6.90	+	2.75	5.22E-04	1.32E-02
complement activation, classical pathway (GO:0006958)	161	5	18.83	-	.27	5.16E-04	1.30E-02
positive regulation of calcium ion transport (GO:0051928)	125	31	14.62	+	2.12	5.15E-04	1.30E-02
metanephric nephron development (GO:0072210)	32	13	3.74	+	3.47	5.13E-04	1.30E-02
regulation of axon extension (GO:0030516)	97	26	11.35	+	2.29	5.11E-04	1.30E-02
regulation of regulated secretory pathway (GO:1903305)	144	34	16.84	+	2.02	5.00E-04	1.27E-02
anterior/posterior pattern specification (GO:0009952)	203	44	23.74	+	1.85	4.91E-04	1.25E-02
morphogenesis of an epithelium (GO:0002009)	441	80	51.58	+	1.55	4.84E-04	1.24E-02
semi-lunar valve development (GO:1905314)	41	15	4.80	+	3.13	4.82E-04	1.23E-02
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	19	10	2.22	+	4.50	4.78E-04	1.22E-02
positive regulation of mesenchymal cell proliferation (GO:0002053)	23	11	2.69	+	4.09	4.71E-04	1.21E-02
response to catecholamine (GO:0071869)	103	27	12.05	+	2.24	4.59E-04	1.18E-02
response to monoamine (GO:0071867)	103	27	12.05	+	2.24	4.59E-04	1.18E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	0	8.77	-	 < 0.01	4.47E-04	1.15E-02
cell-cell signaling involved in cardiac conduction (GO:0086019)	27	12	3.16	+	3.80	4.43E-04	1.15E-02
ionotropic glutamate receptor signaling pathway (GO:0035235)	27	12	3.16	+	3.80	4.43E-04	1.14E-02
odontogenesis (GO:0042476)	120	30	14.04	+	2.14	4.39E-04	1.14E-02
eye morphogenesis (GO:0048592)	152	36	17.78	+	2.02	4.31E-04	1.12E-02
